Date,"Resolution Numbers","Minutes Item","Resolution Letter",Action,Category,Type,Description,"Street Name","From Address","To Address","Cross Street",Side,"From Feet","To Feet",Hour,"Start Time","End Time",Day,Permits,"Week 1","Week 2","Week 3","Week 4","Week 5","Order Number","Project Id","Project Name","Project Status","Project Update","Project Link",PDF,Video,MP3
2010-01-05,10-002,10.1,O,ESTABLISH,Traffic,"NO U-TURN","NO U-TURN, 7 AM - 3 PM, SCHOOLDAYS - Eastbound Vicente Street at 24th Avenue.","Vicente Street",1301,1399,,Eastbound,,,,"7:00 AM","3:00 PM",SCHOOLDAYS,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,P,ESTABLISH,Traffic,"NO U-TURN","NO U-TURN, 7 AM - 3 PM, SCHOOLDAYS - Westbound Vicente Street at 25th Avenue.","Vicente Street",1300,1398,,Westbound,,,,"7:00 AM","3:00 PM",SCHOOLDAYS,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,YY,ESTABLISH,Parking,"TOW AWAY NO PARKING","Plymouth Avenue, west side, from Ocean Avenue to 104 feet northerly.","Plymouth Avenue",1201,1221,"Ocean Avenue",West,0,104,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,SSS,ESTABLISH,Parking,"TOW AWAY NO PARKING","Natoma Street, south side, from 313 feet east of 7th Street to Russ Street.","Natoma Street",547,599,,South,,,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,TTT,ESTABLISH,Parking,"TOW AWAY NO PARKING","Natoma Street, south side, from 153 feet east of Russ Street to 6th Street.","Natoma Street",501,545,,South,,,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,UUU,ESTABLISH,Parking,"TOW AWAY NO PARKING","Minna Street, south side, Minna Street, north side, from 661 feet east of 7th Street to 6th Street.","Minna Street",500,598,,North,,,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,UUU,ESTABLISH,Parking,"TOW AWAY NO PARKING","Minna Street, south side, Minna Street, north side, from 661 feet east of 7th Street to 6th Street.","Minna Street",501,599,,South,,,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,VVV,ESTABLISH,Parking,"TOW AWAY NO PARKING","Moss Street, east side, from   Howard Street to 325 feet southerly.","Moss Street",,,,East,,,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,WWW,RESCIND,Parking,"TOW AWAY NO PARKING","Natoma Street, north side, from 348 feet east of 7th Street to Russ Street.","Natoma Street",550,598,,North,,,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,XXX,RESCIND,Parking,"TOW AWAY NO PARKING","Natoma Street, north side, from 188 feet east of Russ Street to 6th Street.","Natoma Street",500,548,,North,,,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,YYY,RESCIND,Parking,"TOW AWAY NO PARKING","Minna Street, south side, from 607 feet east of 7th Street to 6th Street.","Natoma Street",501,599,,South,,,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,ZZZ,RESCIND,Parking,"TOW AWAY NO PARKING","Moss Street, west side, from Howard Street to 275 feet southerly.","Moss Street",2,56,"Howard Street",West,0,275,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,OOO,ESTABLISH,Parking,"PERPENDICULAR PARKING","Russ Street, east side, from Folsom Street to 116 feet northerly.","Russ Street",189,199,"Folsom Street",East,0,116,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,PPP,ESTABLISH,Parking,"PERPENDICULAR PARKING","Russ Street, east side, from 22 feet east of Howard Street to 69 feet southerly.","Russ Street",121,127,"Howard Street",East,22,69,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
